initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,29,29,29,66.1843749000036,,,,,,,,,,,,66.16856940000434,66.1843749000036,66.1843749000036,66.38431310000306,66.65185880000354,down,1,66.65214840000408,66.6676110000044,66.6676110000044,67.16765160000068,67.66754120000405,67.65126030000101,67.65127580000262,67.66754120000405,68.3674702999997,68.35145890000422,,0.4662447000009706,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,30,30,30,68.3674702999997,,,,,,,,,,,,68.35186709999834,68.3674702999997,68.3674702999997,68.56752080000297,68.83465879999858,left,1,68.83491100000538,68.85069600000134,68.85069600000134,69.35070450000057,69.85067310000159,69.83461230000103,69.83465450000222,69.85067310000159,70.5507465000046,70.53448520000529,,0.4584166999993613,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,31,31,31,70.5507465000046,,,,,,,,,,,,70.53471949999948,70.5507465000046,70.5507465000046,70.75060700000176,71.01812630000495,right,1,71.0184150999994,71.03396470000007,71.03396470000007,71.53405010000279,72.03389060000336,72.01791040000535,72.01792650000425,72.03389060000336,72.73393860000215,72.71804939999856,,0.46586199999728706,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,32,32,32,72.73393860000215,,,,,,,,,,,,72.71826290000172,72.73393860000215,72.73393860000215,72.93383570000151,73.20156140000472,right,1,73.20192230000248,73.21731040000304,73.21731040000304,73.71728460000304,74.2172200999994,74.20098240000516,74.20100020000245,74.2172200999994,74.9171181999991,74.90105100000073,,0.4628307000020868,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,33,33,33,74.9171181999991,,,,,,,,,,,,74.90137060000416,74.9171181999991,74.9171181999991,75.11721090000356,75.40086059999885,None,0,75.40104530000099,75.41714960000536,75.41714960000536,75.91720290000376,76.41714000000502,76.40096840000479,76.40098250000301,76.41714000000502,77.11716430000524,77.10088000000542,75.41714960000536,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,34,34,34,77.11716430000524,,,,,,,,,,,,77.10119150000537,77.11716430000524,77.11716430000524,77.31709450000199,77.58488360000047,right,1,77.58515700000135,77.60035880000214,77.60035880000214,78.10034740000265,78.60033150000527,78.58409140000003,78.58410739999817,78.60033150000527,79.30022750000353,79.2843692000024,,0.4655230999997002,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,35,35,35,79.30022750000353,,,,,,,,,,,,79.28470830000151,79.30022750000353,79.30022750000353,79.5002747000035,79.78403660000185,None,0,79.78424630000518,79.80013190000318,79.80013190000318,80.30016610000166,80.8001207999987,80.78427960000408,80.78430970000045,80.8001207999987,81.50023080000392,81.48378819999925,79.80013190000318,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,36,36,36,81.50023080000392,,,,,,,,,,,,81.48398699999962,81.50023080000392,81.50023080000392,81.70004930000141,81.98387809999986,None,0,81.98407460000453,82.000085700005,82.000085700005,82.50013590000162,83.00015169999824,82.98381090000476,82.98382610000408,83.00015169999824,83.70002499999828,83.68371599999955,82.000085700005,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,37,37,37,83.70002499999828,,,,,,,,,,,,83.68391210000118,83.70002499999828,83.70002499999828,83.89987140000449,84.1008170999994,up,1,84.10106180000002,84.1166086000012,84.1166086000012,84.61683350000385,85.11655270000483,85.10036380000383,85.1003800000035,85.11655270000483,85.81667220000236,85.80071500000486,,0.39392799999768613,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,38,38,38,85.81667220000236,,,,,,,,,,,,85.80113620000338,85.81667220000236,85.81667220000236,86.01664750000054,86.30036290000135,None,0,86.30058600000484,86.31669840000541,86.31669840000541,86.81659900000523,87.31651940000302,87.30038649999915,87.30040179999924,87.31651940000302,88.01653259999875,88.00016410000535,86.31669840000541,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
,,,,,,,,,,,,,,88.01653259999875,,,,,,,,,,,,88.00037080000038,88.01653259999875,88.01653259999875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
